X;Y;Height
100;100;0
101;100;0
102;100;0
103;100;0
104;100;0
105;100;0
106;100;0
107;100;0
108;100;0
109;100;0
100;101;0
101;101;0
102;101;0
103;101;0
104;101;0
105;101;0
106;101;0
107;101;0
108;101;0
109;101;0
100;102;0
101;102;0
102;102;0
103;102;0
104;102;0
105;102;0
106;102;0
107;102;0
108;102;0
109;102;0
100;103;0
101;103;0
102;103;0
103;103;0
104;103;0
105;103;0
106;103;0
107;103;0
108;103;0
109;103;0
100;104;0
101;104;0
102;104;0
103;104;0
104;104;0
105;104;0
106;104;0
107;104;0
108;104;0
109;104;0
100;105;0
101;105;0
102;105;0
103;105;0
104;105;0
105;105;0
106;105;0
107;105;0
108;105;0
109;105;0
100;106;0
101;106;0
102;106;0
103;106;0
104;106;0
105;106;0
106;106;0
107;106;0
108;106;0
109;106;0
100;107;0
101;107;0
102;107;0
103;107;0
104;107;0
105;107;0
106;107;0
107;107;0
108;107;0
109;107;0
100;108;0
101;108;0
102;108;0
103;108;0
104;108;0
105;108;0
106;108;0
107;108;0
108;108;0
109;108;0
100;109;0
